"코드","종목명","액면가"
"293580","나우IB","500"
"357230","에이치피오","500"
"276040","스코넥","500"
"200350","래몽래인","500"
"092460","한라IMS","500"
"288620","에스퓨얼셀","500"
"064240","홈캐스트","500"
"021320","KCC건설","5,000"
"271830","팸텍","100"
"054920","한컴위드","500"
"141000","비아트론","500"
"002800","신신제약","500"
"011560","세보엠이씨","500"
"094850","참좋은여행","500"
"368600","아이씨에이치","500"
"352910","오비고","500"
"042500","링네트","500"
"222040","코스맥스엔비티","500"
"214270","FSN","500"
"065710","서호전기","500"
"082210","옵트론텍","500"
"309960","LB인베스트먼트","1,000"
"019010","베뉴지","500"
"263050","유틸렉스","500"
"158430","아톤","100"
"106190","하이텍팜","500"
"240600","유진테크놀로지","500"
"308080","바이젠셀","500"
"208140","정다운","100"
"066410","버킷스튜디오","500"
"217500","러셀","100"
"052770","아이톡시","500"
"086710","선진뷰티사이언스","500"
"260970","에스앤디","500"
"122310","제노레이","500"
"265560","영화테크","500"
"098120","마이크로컨텍솔","500"
"246720","아스타","500"
"053260","금강철강","500"
"260930","씨티케이","500"
"347000","센코","500"
"263700","케어랩스","500"
"080000","에스엔유","500"
"019590","엠벤처투자","500"
"347770","핌스","500"
"950110","SBI핀테크솔루션즈","0"
"348350","위드텍","500"
"053050","지에스이","500"
"258610","케일럼","500"
"339950","아이비김영","100"
"155650","와이엠씨","500"
"073640","테라사이언스","100"
"123570","이엠넷","500"
"215100","로보로보","100"
"290720","푸드나무","500"
"115500","케이씨에스","500"
"024880","케이피에프","500"
"131030","옵투스제약","500"
"064480","브리지텍","500"
"950200","소마젠","0"
"187420","제노포커스","500"
"066310","큐에스아이","500"
"255220","SG","100"
"417970","모델솔루션","500"
"037440","희림","500"
"238090","앤디포스","500"
"153710","옵티팜","500"
"130580","나이스디앤비","500"
"069510","에스텍","500"
"068100","케이웨더","500"
"225190","삼양옵틱스","500"
"011320","유니크","500"
"351330","이삭엔지니어링","500"
"008830","대동기어","500"
"048430","유라테크","500"
"053290","NE능률","500"
"014200","광림","500"
"274400","이노시뮬레이션","500"
"205500","액션스퀘어","500"
"263800","데이타솔루션","500"
"086040","바이오톡스텍","500"
"036640","HRS","500"
"204610","티쓰리","100"
"196300","애니젠","500"
"330730","스톤브릿지벤처스","500"
"170790","파이오링크","500"
"046120","오르비텍","500"
"088130","동아엘텍","500"
"305090","마이크로디지탈","500"
"218150","미래생명자원","100"
"201490","미투온","500"
"347740","피엔케이피부임상연구센타","500"
"011370","서한","500"
"303530","이노뎁","500"
"241770","메카로","500"
"033830","티비씨","500"
"037330","인지디스플레","500"
"333430","일승","100"
"056730","CNT85","500"
"189980","흥국에프엔비","100"
"009780","엠에스씨","500"
"163730","핑거","500"
"192250","케이사인","100"
"208340","파멥신","500"
"142280","녹십자엠에스","500"
"301300","바이브컴퍼니","500"
"039290","인포뱅크","500"
"365330","에스와이스틸텍","500"
"321260","프로이천","100"
"185490","아이진","500"
"219420","링크제니시스","100"
"142760","비엘","500"
"090410","덕신하우징","100"
"060230","소니드","2,500"
"033320","제이씨현시스템","500"
"277070","린드먼아시아","500"
"212560","네오오토","500"
"054930","유신","5,000"
"363260","모비데이즈","100"
"137080","나래나노텍","500"
"012790","신일제약","500"
"064090","웨스트라이즈","500"
"020710","시공테크","500"
"064520","테크엘","500"
"037370","EG","1,000"
"263540","어스앤에어로스페이스","500"
"004650","창해에탄올","500"
"038070","서린바이오","500"
"322180","티라유텍","100"
"440290","HB인베스트먼트","500"
"290090","트윔","500"
"254120","자비스","100"
"109860","동일금속","500"
"242040","나무기술","100"
"032540","TJ미디어","500"
"063440","SM Life Design","500"
"204840","지엘팜텍","100"
"302550","리메드","100"
"068050","팬엔터테인먼트","500"
"450520","인스웨이브시스템즈","500"
"419120","산돌","500"
"036670","KCI","500"
